,executable,file,n_procs,time (s),iters
0,./mr-pr-mpi-base.o,bull,2,0.0529177,17
1,./mr-pr-mpi-base.o,chvatal,4,0.264667,37
2,./mr-pr-mpi-base.o,coxeter,4,0.163464,24
3,./mr-pr-mpi-base.o,cubical,4,0.255751,31
4,./mr-pr-mpi-base.o,diamond,2,0.0698841,18
5,./mr-pr-mpi-base.o,dodecahedral,4,0.657886,93
6,./mr-pr-mpi-base.o,folkman,4,0.476189,66
7,./mr-pr-mpi-base.o,franklin,4,0.31636,40
8,./mr-pr-mpi-base.o,frucht,4,0.51815,52
9,./mr-pr-mpi-base.o,grotzsch,4,0.343903,48
10,./mr-pr-mpi-base.o,heawood,4,0.430348,71
11,./mr-pr-mpi-base.o,herschel,4,0.337505,57
12,./mr-pr-mpi-base.o,house,2,0.0696282,22
13,./mr-pr-mpi-base.o,housex,2,0.0697021,18
14,./mr-pr-mpi-base.o,icosahedral,4,0.304893,53
15,./mr-pr-mpi-base.o,krackhardt_kite,4,0.230388,43
16,./mr-pr-mpi-base.o,levi,4,0.182505,32
17,./mr-pr-mpi-base.o,mcgee,4,0.831685,128
18,./mr-pr-mpi-base.o,meredith,4,0.254503,27
19,./mr-pr-mpi-base.o,noperfectmatching,4,0.225912,35
20,./mr-pr-mpi-base.o,nonline,4,0.157094,26
21,./mr-pr-mpi-base.o,octahedral,2,0.0632162,17
22,./mr-pr-mpi-base.o,petersen,4,0.158343,23
23,./mr-pr-mpi-base.o,robertson,4,0.325044,65
24,./mr-pr-mpi-base.o,smallestcyclicgroup,4,0.187598,27
25,./mr-pr-mpi-base.o,tetrahedral,2,0.0480208,14
26,./mr-pr-mpi-base.o,thomassen,4,0.206829,32
27,./mr-pr-mpi-base.o,tutte,4,0.103342,19
28,./mr-pr-mpi-base.o,uniquely3colorable,4,0.344742,45
29,./mr-pr-mpi-base.o,walther,4,0.725735,83
0,./mr-pr-mpi.o,bull,2,0.000101328,17
1,./mr-pr-mpi.o,chvatal,4,0.000207186,19
2,./mr-pr-mpi.o,coxeter,4,0.000173569,17
3,./mr-pr-mpi.o,cubical,4,0.000127792,19
4,./mr-pr-mpi.o,diamond,2,0.000142336,18
5,./mr-pr-mpi.o,dodecahedral,4,0.000436783,25
6,./mr-pr-mpi.o,folkman,4,0.000175953,17
7,./mr-pr-mpi.o,franklin,4,0.000262022,24
8,./mr-pr-mpi.o,frucht,4,0.000188351,17
9,./mr-pr-mpi.o,grotzsch,4,8.58307e-05,10
10,./mr-pr-mpi.o,heawood,4,0.000207424,27
11,./mr-pr-mpi.o,herschel,4,0.000118971,16
12,./mr-pr-mpi.o,house,2,9.29832e-05,22
13,./mr-pr-mpi.o,housex,2,0.000122309,18
14,./mr-pr-mpi.o,icosahedral,4,0.00018096,19
15,./mr-pr-mpi.o,krackhardt_kite,4,0.000201464,35
16,./mr-pr-mpi.o,levi,4,0.000341654,30
17,./mr-pr-mpi.o,mcgee,4,0.000312567,31
18,./mr-pr-mpi.o,meredith,4,0.000225544,10
19,./mr-pr-mpi.o,noperfectmatching,4,0.000388384,30
20,./mr-pr-mpi.o,nonline,4,0.000291824,15
21,./mr-pr-mpi.o,octahedral,2,0.000106573,17
22,./mr-pr-mpi.o,petersen,4,0.000161171,14
23,./mr-pr-mpi.o,robertson,4,0.000245094,23
24,./mr-pr-mpi.o,smallestcyclicgroup,4,0.000126123,12
25,./mr-pr-mpi.o,tetrahedral,2,7.93934e-05,14
26,./mr-pr-mpi.o,thomassen,4,0.00053525,34
27,./mr-pr-mpi.o,tutte,4,0.000392199,24
28,./mr-pr-mpi.o,uniquely3colorable,4,0.000149012,13
29,./mr-pr-mpi.o,walther,4,0.000313997,24
0,./mr-pr-cpp.o,bull,2,0.012264,17
1,./mr-pr-cpp.o,chvatal,4,0.016669,19
2,./mr-pr-cpp.o,coxeter,4,0.01495,17
3,./mr-pr-cpp.o,cubical,4,0.014281,19
4,./mr-pr-cpp.o,diamond,2,0.013148,18
5,./mr-pr-cpp.o,dodecahedral,4,0.022,25
6,./mr-pr-cpp.o,folkman,4,0.016072,17
7,./mr-pr-cpp.o,franklin,4,0.018318,24
8,./mr-pr-cpp.o,frucht,4,0.015015,17
9,./mr-pr-cpp.o,grotzsch,4,0.008539,10
10,./mr-pr-cpp.o,heawood,4,0.019619,27
11,./mr-pr-cpp.o,herschel,4,0.014141,16
12,./mr-pr-cpp.o,house,2,0.015226,22
13,./mr-pr-cpp.o,housex,2,0.012398,18
14,./mr-pr-cpp.o,icosahedral,4,0.01733,19
15,./mr-pr-cpp.o,krackhardt_kite,4,0.023202,35
16,./mr-pr-cpp.o,levi,4,0.02118,30
17,./mr-pr-cpp.o,mcgee,4,0.02618,31
18,./mr-pr-cpp.o,meredith,4,0.011847,10
19,./mr-pr-cpp.o,noperfectmatching,4,0.024758,30
20,./mr-pr-cpp.o,nonline,4,0.014673,15
21,./mr-pr-cpp.o,octahedral,2,0.011666,17
22,./mr-pr-cpp.o,petersen,4,0.010246,14
23,./mr-pr-cpp.o,robertson,4,0.016554,23
24,./mr-pr-cpp.o,smallestcyclicgroup,4,0.011363,12
25,./mr-pr-cpp.o,tetrahedral,2,0.010251,14
26,./mr-pr-cpp.o,thomassen,4,0.025999,34
27,./mr-pr-cpp.o,tutte,4,0.018884,24
28,./mr-pr-cpp.o,uniquely3colorable,4,0.009821,13
29,./mr-pr-cpp.o,walther,4,0.018815,24
